phenotype	NR	R	R	NR	R	R	R	R	NR	R	R	R	R	NR	R	NR	NR	R	NR	R	R	R	R	R	R	NR	R	R	R	NR	R	R	R	R	NR	R	R	R	R	NR
subject_id	Wargo.109865	Wargo.115690	Wargo.117349	Wargo.118369	Wargo.118370	Wargo.120662	Wargo.121296	Wargo.121409	Wargo.121891	Wargo.121892	Wargo.122114	Wargo.122410	Wargo.122412	Wargo.122637	Wargo.122639	Wargo.122724	Wargo.123009	Wargo.123197	Wargo.123305	Wargo.123704	Wargo.123986	Wargo.124418	Wargo.124419	Wargo.124421	Wargo.126747	Wargo.126802	Wargo.127261	Wargo.127262	Wargo.130510	Wargo.130511	Wargo.130801	Wargo.131051	Wargo.131300	Wargo.131302	Wargo.131512	Wargo.131541	Wargo.132265	Wargo.132266	Wargo.132268	Wargo.132538
Bacteria|Tenericutes|Mollicutes|Mollicutes_RF39	0	5	10	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	0	714	0	0	0	0	0	0	0	0	0	497	0	0
Bacteria|Tenericutes|Mollicutes|Izimaplasmatales	0	497	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	52	0	0
Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales	0	0	18	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	12	0	376	11	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria|Epsilonbacteraeota|Campylobacteria|Campylobacterales	0	0	0	8	0	0	3	0	0	0	0	0	0	192	0	2	0	0	0	98	0	0	0	0	0	0	0	65	2	0	0	0	2	22	0	0	0	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	0	0	4	3	9	5	20	11	0	0	0	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	211	0	0	0	3	0	0	0	2	3	0	0	0
Bacteria|Cyanobacteria|Oxyphotobacteria|Chloroplast	0	0	2	0	20	0	2	0	0	0	63	2	0	2	0	0	5	15	0	10	0	0	3	2	11	0	0	0	0	0	0	49	0	74	3	5	0	0	63	0
Bacteria|Lentisphaerae|Lentisphaeria|Victivallales	0	0	42	6	0	64	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	182	0	5	0	0
Archaea|Euryarchaeota|Thermoplasmata|Methanomassiliicoccales	0	4	52	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Flavobacteriales	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales	0	0	3	0	8	2	4	2	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	48	5	0	0	0	3	7	4	7	7	0	4	5	2	4	5
